,preflop_action,board_flop,board_turn,board_river,aggressor_position,postflop_action,evaluation_at,available_moves,pot_size,hero_position,holding,correct_decision
0,HJ/2.0bb/BB/call,Ks7h2d,Jc,7c,OOP,OOP_CHECK/IP_CHECK/dealcards/Jc/OOP_CHECK/IP_BET_5/OOP_RAISE_14/IP_CALL/dealcards/7c/OOP_CHECK,River,"['Check', 'Bet 24']",32,IP,8h8c,Check
1,SB/3.0bb/BB/10.0bb/SB/call,Ks7h2d,Jc,7c,IP,OOP_CHECK/IP_BET_10/OOP_CALL/dealcards/Jc/OOP_CHECK/IP_BET_44/OOP_RAISE_80,Turn,"['Fold', 'Call']",164,IP,AhQd,Call
2,CO/2.3bb/BTN/call,QcAdKh,Ts,Tc,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_CHECK/IP_CHECK/dealcards/Tc/OOP_BET_3/IP_RAISE_11,River,"['Fold', 'Call', 'Raise 29']",20,OOP,Kc5c,Fold
3,BTN/2.5bb/BB/call,AcKs7d,2h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/2h/OOP_CHECK/IP_BET_4/OOP_RAISE_13,Turn,"['Fold', 'Call', 'Raise 33']",22,IP,Qs4s,Fold
4,SB/3.0bb/BB/call,5c5dAh,3h,Kh,OOP,OOP_BET_2,Flop,"['Fold', 'Call', 'Raise 9']",8,IP,Ad4h,Call
5,HJ/2.0bb/BB/call,QcAdKh,3d,Jc,OOP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/3d/OOP_CHECK/IP_BET_8/OOP_RAISE_25/IP_CALL/dealcards/Jc/OOP_BET_30/IP_RAISE_70,River,"['Fold', 'Call']",157,OOP,Qh5h,Fold
6,HJ/2.0bb/BB/call,JcJh4s,4d,3c,OOP,OOP_CHECK/IP_BET_1,Flop,"['Fold', 'Call', 'Raise 4']",5,OOP,Td9s,Fold
7,BTN/2.5bb/BB/call,Td6h4h,8d,Qd,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/8d/OOP_CHECK/IP_CHECK/dealcards/Qd/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",20,IP,AsQs,Call
8,UTG/2.0bb/BB/call,Js8d3c,9d,2h,OOP,OOP_CHECK/IP_CHECK/dealcards/9d/OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/2h/OOP_CHECK/IP_BET_8,River,"['Fold', 'Call', 'Raise 25']",18,OOP,Ad9s,Call
9,CO/2.3bb/BB/call,Qc8cAc,Kh,3s,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/3s/OOP_BET_9,River,"['Fold', 'Call', 'Raise 32']",26,IP,4s4h,Fold
10,CO/2.3bb/BB/call,Ad9h8h,3s,2h,OOP,OOP_CHECK/IP_CHECK/dealcards/3s/OOP_CHECK/IP_CHECK/dealcards/2h/OOP_CHECK,River,"['Check', 'Bet 4']",5,IP,AhTh,Bet 4
11,HJ/2.0bb/BB/call,7d6c4h,5h,Kh,OOP,OOP_CHECK/IP_CHECK/dealcards/5h/OOP_BET_3/IP_CALL/dealcards/Kh/OOP_BET_5/IP_RAISE_18,River,"['Fold', 'Call', 'Raise 48']",33,OOP,Jd8d,Call
12,CO/2.3bb/BTN/call,Td6h4h,8d,Qd,OOP,OOP_BET_5,Flop,"['Fold', 'Call', 'Raise 16']",11,IP,JhTh,Call
13,BTN/2.5bb/BB/call,4s4h3h,Jh,Js,OOP,OOP_CHECK/IP_CHECK/dealcards/Jh/OOP_BET_4/IP_CALL/dealcards/Js/OOP_CHECK/IP_BET_10,River,"['Fold', 'Call', 'Raise 32']",23,OOP,4d4c,Raise 32
14,UTG/2.0bb/HJ/6.5bb/UTG/call,9s7s4c,6s,Ks,IP,OOP_BET_3/IP_RAISE_10/OOP_CALL/dealcards/6s/OOP_BET_37,Turn,"['Fold', 'Call', 'Raise 83']",71,IP,KdQh,Fold
